,Shannon_H,Day_of_Operation
46152,5.5825335629834525,0
H,2.5708041913593256,140
Ha,2.770674903686871,147
I,2.5869976991479184,149
Ia,2.7900397886945507,153
J,2.6909116731039635,161
Ja,2.5953123773100555,168
Jb,2.3477236862410136,174
K,2.24359316425595,182
L,2.759159479248898,189
M,2.3597248545358203,210
N,2.528123256448981,238
Na,2.3482399834366765,262
P,2.2383345292636587,283
Q,2.1075962298848907,300
Qa,2.2523945467070248,315
