ASV_ID	140	147	149	153	161	168	174	182	189	210	238	262	283	300	315
144e3876b7943b5474d329bec54856a4	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
702860fda44c0d44ddacb5bd79fd5d24	0	0	0	0	0	0	0	0	0	0	0	0	13	18	36
35dbde30af820a2c3bcd85216229ad6a	51	49	40	143	67	74	40	18	34	7	6	12	3	4	0
58a5d06b791283b4270f688e0b7408c9	3	3	0	3	0	2	0	0	1	0	0	0	0	0	0
07751ebfb567d65db3f366d9c4037e68	0	0	2	2	3	0	0	1	2	0	0	0	0	0	0
0e94ac060981402de47bbf85360fea8b	0	0	0	0	5	0	0	5	2	0	2	0	0	0	0
7f78afb7e1d45cd528fe9cd909c93fb5	2410	1983	2997	3912	5477	3018	6252	6538	5335	5412	4652	3556	2441	2265	1989
ce94860005cb569777791022ac3014af	0	0	0	0	4	0	0	4	2	0	3	0	1	0	0
09ee5eb3e6c726c7c8242f6e97453fc2	215	276	332	365	365	250	304	341	220	101	79	63	119	270	565
0fec351445f84bd482075ceda6123f46	6846	6526	6242	3813	2859	4290	1531	1516	2030	8009	7104	9302	9890	11238	10309
534d7b1bce2cf035866320576094f81e	0	0	0	0	0	0	0	0	0	1	4	0	5	0	0
b4ac0621ed68fda2b501520e951949e1	0	0	0	0	0	0	0	0	0	4	6	0	7	0	0
2c1453fb27de0eb5e19ae61028df3294	0	0	0	0	7	0	0	0	0	8	10	0	13	0	0
c6d0e484e529a485ffc0b1f08f1fb158	2	0	0	0	1	0	0	0	0	0	3	0	2	0	0
19463e5fe824700110e4a4ec8afe0512	6	0	7	0	9	11	23	17	17	55	203	54	242	137	42
135f3b8eaf65e4c59bcd692de4f6d6ae	3	6	0	7	0	0	0	0	0	0	0	0	0	0	0
7281c911136ba2bdcafebb9c71729dea	0	0	0	0	0	0	0	0	0	2	11	13	86	133	36
38b371de3be6ddef03bea94294e9830d	3	0	2	0	1	0	0	0	2	0	1	0	6	10	0
63f37ee4b481fccdffca10160ed5b944	5376	4793	5864	5637	4641	3412	4954	2419	2854	2489	1781	1853	4999	3574	3416
5976a56adfe903f7348b5eb5689e3c55	1	8	32	92	50	39	21	8	197	191	129	64	99	99	106
43a52ec4605b37f3671b33e61ff6fedd	0	0	15	44	21	23	0	3	91	76	76	25	48	52	46
ec92f6331d8ecb50e3f0dee8fbf3bcb0	24	164	32	20	16	18	6	2	1	1	5	4	4	6	5
ea156f972cd3802c3fac147e4200ba7a	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0
4adbf4beb8d2b17f63b543e4d9aa39b6	0	0	0	0	0	0	0	0	0	0	21	97	22	0	0
93fadef301b62aa732e42bf1142b3afa	55	269	51	117	106	209	113	71	110	88	181	341	262	344	606
92f305372628ccbd74b7b28b933d306b	0	0	0	0	0	0	0	0	0	0	2	33	6	0	0
d42912a22b570ab99938b745999ae2cc	8	19	4	6	17	16	27	149	112	13	14	11	13	10	16
4bea53b2aad77f2569a0182f6b84255e	26	53	71	40	24	49	81	265	212	62	20	16	13	13	15
83adaf3a09d08c93f2abea6a4c815592	418	507	377	721	449	777	360	326	305	368	313	342	316	293	316
a402fc6f0fd057decbe746f48bf12862	31	0	12	0	10	0	0	18	30	46	55	48	59	114	110
0709277372b3816e3986842fb10c8e96	45	51	12	0	2	0	0	0	0	1	8	42	44	31	39
e6485d233ed2b8b9a2f3f50f0747b9d2	69	98	35	54	11	21	26	86	222	272	252	188	184	193	224
47515cfa358287ae00ead27b78b2285b	0	0	0	0	0	0	0	0	0	0	0	0	5	12	5
2b7dca9f823dab555a368d87f194804f	0	0	0	0	0	0	0	3	3	2	9	0	4	0	0
b64f2cd0b47a6548ebe2077c728b213f	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0
4a18801bf3179876e3e063abc1fa1b5c	0	0	0	0	0	0	0	0	0	7	4	0	3	0	0
b4eac52cfa36ce63f24be2fc530ad204	4	0	0	0	2	0	0	2	12	27	15	0	8	0	0
eefd58e34806834774cf090051744fd6	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0
4f3989d95e7611bb6b5307454d75d3ce	10	7	5	0	1	4	0	1	2	23	12	20	6	2	9
5e2e0a4cfc3ab5f1a074ef61d2d6f68b	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0
499a635c6e7dcd5c8ef518302aa50011	58	52	45	87	15	10	24	15	15	8	8	4	1	0	0
af9554a6cc07a34c1cb6004e3dbb865a	0	0	0	0	0	0	0	0	0	0	6	8	5	12	12
c55a8101fb6c187736f0af61f720cb92	67	115	74	316	487	561	542	72	869	1627	1867	1451	610	625	1162
800e0527da5f9218e61c70f7d0ec8715	0	0	0	0	0	0	0	0	0	0	9	4	3	0	0
179e72f0ecdfeb920df685432f3f2d1a	9	11	20	16	11	9	20	29	10	1	0	0	0	0	0
3343d19c0bc1759a66023cbc86c92592	57	121	71	91	74	76	60	14	7	1	53	190	128	65	167
a061d8883eca2028db1d268500722130	43	115	86	69	82	54	44	10	3	3	52	182	105	64	171
430c875622713c0d7662add2d8e7db60	99	88	82	28	53	24	110	121	135	51	24	7	2	4	1
bb617d32673d5f60d6216a07ad7a42bc	0	0	0	0	0	0	0	266	1	2	6	0	1	0	0
5cb2b4186e2e95521540e2ccbafcb4c9	47	35	19	0	7	0	17	3	21	3	0	0	0	0	0
b3d8bf326297fb9b18ea4fef1ce8d4a6	530	397	379	424	128	108	0	0	121	125	287	163	193	169	197
dd07e924156039f8e953d5ea58ab5023	0	0	0	0	0	0	0	0	0	1	10	6	10	12	4
164212c0910ca9770a6bd13bcb2c5d05	4	7	5	12	3	0	0	0	0	1	0	2	0	0	0
f898c7a8c566d0beb46d5448dde2387c	0	0	0	0	1	3	0	2	3	0	1	0	0	0	0
49c2b5d0aaf2ac8b0ee6cae5b6c5a8f4	0	0	0	0	1	0	0	4	0	1	2	3	1	0	0
8a4c692c01077fa5a93913725097b3bc	0	0	0	0	0	0	0	0	0	4	27	14	11	28	0
d98dabbea4fe10de13ec5310782324e8	0	0	0	0	0	0	0	0	0	0	0	0	1	20	17
0f4c04cefd226f6854ad0fbc2a2de226	9	9	13	11	4	7	4	10	4	5	4	0	1	0	0
3679eb1918d142d7e468ea32c2f42595	27	30	14	18	13	8	27	22	21	10	32	66	16	8	4
daec04577d1843ad73efa35de1d48151	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0
36e38981bc99d5d7fdd5959ca41f6313	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0
344b8fcfc08a17bb7443c1ad11ea3151	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0
ab2050607cb3fe172ea918d5a17a46c7	1	0	0	0	4	0	0	2	6	4	1	3	3	0	0
28b5f35cfb5f0516e5e5f896428abdcd	14	9	7	32	4	5	0	2	5	4	6	0	0	0	0
d96a2ea1b09f080f66ce79b9ddfa768e	0	0	2	0	2	0	0	2	5	2	1	0	1	0	0
d23e07dc0f848e8921532df36254ce29	0	0	1	9	3	3	0	4	3	7	2	2	4	0	0
543dc760699879a2b12cd2e2525e6729	3	0	4	0	0	0	0	2	2	0	0	0	0	0	0
29b313a5262947210e3e9de415abaead	136	78	61	96	116	192	103	81	151	133	84	479	30	31	20
52708c2cfa926ba9b2f69878c97cee2c	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0
09383f3babfd32418e7ba07634680e12	8	7	5	7	9	4	16	65	130	35	15	8	1	0	2
61bffb5ed48deb86adad74d3d45df340	2	0	3	4	2	0	0	3	5	4	0	0	0	0	0
9b6a7459b2c92cee0abfc36d503488b7	1	0	13	11	5	3	0	1	4	24	15	0	5	0	0
a954a29c70499c3c72ee396f69b71c51	4	0	2	0	0	0	0	0	1	0	2	0	0	0	0
4b50be28c2cc7c6a4dbc6300155c5218	5	13	9	16	5	0	3	0	1	0	1	0	0	0	0
c97b49b5849b709da91fb5f6f48cd9eb	5	0	6	0	4	3	0	2	1	0	0	0	0	0	0
b26eb5a5ca6820d220d5433b1cffa5e6	6	0	20	18	12	14	26	19	68	10	7	9	10	6	0
7b29e948451d2fdcce6d39ddc6c25520	3	9	11	0	7	0	0	5	18	2	2	0	1	0	0
c571cb007a7d9e2dfc56e8c0b4e24104	20	256	820	86	1573	822	75	244	466	65	149	15	13	23	41
ff6f97ce50ea01298f8e58b53b97d489	48	114	155	397	124	103	202	93	224	73	20	16	4	0	0
efbade8cc54695abfc5c07f21eecb6e7	26	23	9	19	0	0	0	0	0	0	0	0	0	0	0
e6141036b0768b50c8079ce8ba7222f9	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0
a7d0101041a4ff2c176cc0616423387a	0	57	12	7	3	0	0	4	5	0	1	0	5	0	0
d0d582d9d9b71467f236f9bace54eea5	0	0	0	0	0	0	0	0	0	1	0	0	6	0	11
213ec0ef843de45b3db9302876229bed	9	8	12	21	7	0	13	5	6	0	0	0	0	0	0
b5a22689fdda6393715cd10a326927d3	7	0	4	0	2	0	0	0	1	0	0	0	3	0	0
f42aeaf1c13130f1fdfc8bafa43ded29	6	18	12	11	6	8	0	17	19	15	7	6	3	0	0
1d33e98c9d94c262ab0d8b56d0936eb4	11	18	10	10	6	4	0	2	0	0	0	0	32	53	32
9feda0d620fa50b57ce3f848e1b48975	34	37	18	14	8	16	10	13	139	8	9	3	0	0	0
cd05a4b1cda569ae366c6980823f4c72	4	12	12	12	6	0	0	0	1	1	0	0	0	0	0
a6efdb52a04e05a2a1be52f5516784fa	4	6	3	4	1	0	0	0	0	0	1	0	1	0	0
e79a45f432d0ccc86adbf9bbe7cef2a7	7	58	24	30	5	1	7	1	1	3	17	46	39	59	75
cd991e2f230049eb76c8e3b3fcece79f	1	7	5	10	4	3	0	9	3	2	2	0	0	0	0
b64cf0e9dea8cef6b9500b364c179b98	1230	1046	441	229	2072	4723	4552	7779	5233	307	2221	1755	164	222	43
ec716420b2bb28ff5cfc5b19edbe2dfa	22	31	17	0	3	0	0	7	56	12	51	21	10	0	0
21ceeb224e15175f0c85797abce40d0a	21	22	18	15	2	10	4	7	69	15	41	35	10	4	0
8b35589e4e1ef82328d78d533f5fa1a1	1	6	7	0	3	0	0	1	2	3	1	0	1	0	0
8466f2635d9fbf9c51a04877474f3d09	5	0	4	1	12	0	0	0	1	0	0	0	0	0	0
f816f5de71e4c19785cd5dfa8ee073db	1	0	1	0	0	0	0	3	5	5	3	0	0	0	0
acfe0924c0f9c6ca3720854b5b458d54	9	13	5	0	0	0	0	3	11	1	13	10	2	5	0
20823322077cf511c8eff4f0840466fd	0	0	6	3	0	0	0	5	34	6	5	0	1	0	0
ef7c28bb28866912b76003ee110bdf6b	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3
d863bc6a2fa6a8a93787e45a6abe3304	11	11	5	0	9	21	0	40	145	49	7	0	5	5	0
41f01f3e3cbf6beb908ae1ebb553208e	0	0	0	0	4	0	0	3	4	0	7	21	0	0	0
717e65e6ba1d91587e9c1fc36b2b0c44	0	22	6	0	3	0	0	6	0	0	0	0	0	0	0
94ef08db649a5339b6de95109a8bad0f	4	25	8	0	2	0	0	0	0	0	0	0	0	0	0
1ad05a58bf23396d80f11695ad750b75	7	13	7	25	7	3	0	1	3	1	16	40	35	11	31
15c0fe41b25c6504b8dbe48ae72283d0	0	0	0	0	14	0	11	1	0	9	36	31	28	7	8
a19152d55f42fc72a3a0f985d2615aab	33	49	34	67	3	0	0	0	0	0	0	0	0	0	0
d801b2110a503327da848c95357ca4a5	18	0	19	34	4	0	0	0	0	0	0	0	0	0	0
