ASV_ID	0	140	147	149	153	161	168	174	182	189	210	238	262	283	300	315
99e5f06a61d06cdb191e00e52948bac7	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
cab3a156d09c8a95a87cc88ccf7c4de5	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
8adc12dac7b8b4b0e4408ebdf6aab780	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b4ba6792b3fa30ceb7375dc41eb1d65c	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50420826a4434507209193c117f54130	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c2b43f5fc401b8ae942e9f83213eef32	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5efed3b185cd579740418a733b461740	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8dcc2c0ebe2c9f41761691937e854ac8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f113facb493f17c8499fb47ff434602	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4d4be4592350230ffffb8321fc1688fa	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144e3876b7943b5474d329bec54856a4	0	18	2	8	0	20	0	0	10	13	11	8	0	9	0	0
7762e0345755e644245415ce796d6cfa	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88d9d7a5f4454e47ced69c6c7391068b	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a8f1172cd5341236c5e2a3ced113b0b2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dbec03fc66ff2c2d4e6b089d27824139	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3e3764ae6674e989f040377aa61069b5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc96db08da9a54e69f83357f2429e767	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
398b644c70b3a3b47d64e696f8b639fc	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326834f69c357dad79f31e792597dd1d	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89056b9f86a0886730db47a8c45825eb	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7d92b18666da2334d7051a3a9791dc97	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3547314cbc17e38fbaed69287ddb4f31	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5dfb2d1578133ad81a110967e7c71462	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
702860fda44c0d44ddacb5bd79fd5d24	219	0	0	0	0	0	0	0	0	0	0	15	0	180	33	49
4c301bbaaa0d8e3dc3356271c20fc5b5	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a777d4d917d8136a45eebcd830b6e5f4	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b5a4aad370e78b9f833c9424031c44ec	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35dbde30af820a2c3bcd85216229ad6a	0	546	62	315	218	1240	97	40	283	404	130	136	15	171	5	0
532ff193b68d71a9e2229dd125e1eeb1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22216e3e181ee694bf4c8daa987ac8ab	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84062ea22d23db6a01c565ec5523d81e	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
831363ded99c851c80f32aff0c59c9a2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60ec6b41425f294ba92e7b2f8cc23289	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02e328ecac1fdf0f63bb40991465112b	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3648f626f4aadacf25eb043bdc62c58	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fd570e30645c57d049c83863880fd312	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58a5d06b791283b4270f688e0b7408c9	14	20	3	6	5	7	4	0	0	7	3	0	0	28	0	0
c040c750c7a9e9bdd14a5ee18b3c3b5b	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07751ebfb567d65db3f366d9c4037e68	0	16	0	14	4	19	0	0	4	22	0	8	0	20	0	0
f4e4eee188c4e5fb2a3b609a95f7036c	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fa8e5e27d8fba25e37fc05340a105914	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
de6e665cc2a0ca6ca74b71b0581558e7	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8dba5d94c21557246f8c48418b0f3bda	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d37046c1c20f102fc585c696c80e53c	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ea2f92611ededb17bbf35e9977420ae5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
